bin,bid,YearBuilt,BuildingType,NumberofFloors,PropertyGFATotal,SiteEnergyUse(kBtu),geometry,Building Age,Total Carbon
369,223937022,1964,Commercial,5,93660,705944.0,POINT (550169.8806039051 5273827.5565634975),58,76157.27142593089
371,223937033,2000,Commercial,11,380312,9919319.0,POINT (550301.9254870414 5274027.645909206),22,1070096.593275661
372,164659864,1988,Commercial,20,497513,15610482.0,POINT (550374.0331360314 5273944.909157228),34,1684059.521383578
373,223927905,1979,Commercial,24,543876,16494520.0,POINT (549415.4086121344 5273643.278421654),43,1779429.5817804888
374,223789676,1980,Commercial,4,109347,10478803.0,POINT (548505.9718540555 5274012.422880358),42,1130453.7531161946
375,223915543,1982,Commercial,6,396626,9221033.0,POINT (548693.3688996286 5274069.558216748),40,994765.4672445204
376,223921448,2002,Commercial,6,287471,11288387.0,POINT (549319.9015022118 5273828.082818694),20,1217791.7125437
377,223920794,1947,Commercial,3,192630,5765504.0,POINT (549269.7783123174 5273978.81704214),75,621982.8386320873
379,223783259,1984,Commercial,8,253103,38267192.0,POINT (548328.7229371881 5273999.835930771),38,4128266.445854361
381,224050534,1956,Commercial,1,60880,11056703.0,POINT (547734.8216912015 5283364.556103986),66,1192797.6318899293
382,226321732,1900,Commercial,5,50176,2934798.0,POINT (550209.9869231544 5272311.873103016),122,316606.1442073013
383,52781661,1912,Commercial,42,304346,18743784.0,POINT (550231.3111833975 5272279.824496938),110,2022080.2863074415
384,231289326,1977,Commercial,1,128800,2173770.0,POINT (550403.6176191551 5265465.892533092),45,234506.40830936417
386,107124282,1964,Commercial,22,336330,16742604.0,POINT (550126.6892528498 5272994.702610059),58,1806192.895194061
387,223171640,1960,Commercial,21,552176,28271518.0,POINT (549913.7358158797 5273022.884970366),62,3049932.6716412217
388,35824879,1976,Commercial,42,476871,35496460.0,POINT (550033.0644151305 5273043.914006094),46,3829359.749328132
389,35824976,1923,Commercial,12,544174,51978568.0,POINT (550062.4161781588 5272951.9149926165),99,5607450.32397358
390,161613927,1980,Commercial,2,291940,9097768.0,POINT (552832.3000332882 5269788.680009719),42,981467.6333337324
393,174393227,2009,Commercial,5,141131,2571197.0,POINT (550320.664795144 5274642.44540407),13,277380.85148190113
398,223917716,1916,Commercial,6,350310,10059169.0,POINT (548649.6551043572 5273634.614327719),106,1085183.6177548214
399,3002605861,1988,Commercial,55,1413575,48940272.0,POINT (549897.8382410783 5272860.476183883),34,5279678.810731283
400,594403350,2019,Commercial,38,899127,34630536.0,POINT (549831.4591938324 5272799.889844998),3,3735943.828090431
401,232079314,1930,Commercial,21,305548,26826660.0,POINT (550069.8698750676 5273134.2580436645),92,2894061.323661881
402,397021768,1989,Commercial,46,1536606,48244076.0,POINT (550003.6643948986 5273229.275194864),33,5204573.153996971
403,232078059,1958,Commercial,10,135918,6516301.0,POINT (550014.6723090212 5273172.68527726),64,702978.8537760287
406,363046830,1983,Commercial,29,500000,16436952.0,POINT (549981.9445501928 5273308.00244245),39,1773219.1432734006
408,363036786,1926,Commercial,10,132326,3996492.0,POINT (549895.9076211993 5273173.89054531),96,431141.74211490055
409,232078063,1984,Commercial,6,109830,5023111.0,POINT (549925.7033173004 5273205.266433369),38,541893.4473974977
411,363036785,1910,Commercial,10,109266,5486360.0,POINT (549838.1709274317 5273157.836296907),112,591868.7709795255
412,363036783,1920,Commercial,8,60660,1316378.0,POINT (549868.5944285583 5273115.861078411),102,142010.919626945
413,358977678,1929,Commercial,14,137500,4565328.0,POINT (549848.7868727057 5273059.007378807),93,492507.7961487061
414,363036782,1929,Commercial,15,151039,6738136.0,POINT (549885.4140738737 5273082.6612563385),93,726910.4238535014
415,363046817,1985,Commercial,30,755000,41372956.0,POINT (549794.2863850278 5273191.916483754),37,4463316.410062407
417,173339734,1927,Commercial,10,130893,6351464.0,POINT (549735.2455984396 5273152.511524364),95,685196.2305792366
418,231361927,1910,Commercial,5,79920,3826046.0,POINT (549680.450839193 5272967.542565075),112,412754.0197382472
419,231357660,1908,Educational,4,137400,12328704.0,POINT (549514.53671628 5273032.818539389),114,1330021.1587009165
422,331281880,1989,Commercial,56,1605578,44045796.0,POINT (550199.1720115124 5273218.7293099435),33,4751662.513093363
423,331281879,1980,Commercial,36,794592,22966536.0,POINT (550182.6134146606 5273134.1159337135),42,2477630.9677048223
424,232079312,1971,Commercial,21,456304,19032720.0,POINT (550203.4605917489 5273069.830842749),51,2053250.7153736604
425,231360589,1986,Commercial,12,115857,2314219.0,POINT (549535.6863376464 5273197.4937018845),36,249658.05293627596
426,223926935,1999,Commercial,4,87500,3813540.0,POINT (549039.6007404301 5273289.996299447),23,411404.87187885225
427,223926939,1998,Commercial,11,374405,14365439.0,POINT (549016.5499744293 5273349.821013976),24,1549744.2248615376
428,362819087,1985,Commercial,12,193500,11924999.0,POINT (549336.682461108 5273443.660892318),37,1286469.444597524
429,206883226,1923,Commercial,11,102846,4625701.0,POINT (549438.7432296595 5273284.475841892),99,499020.8381857484
